name,eissn,index,citations,jif2026,jif2025,quartile
Ruminants,2673-933X,ESCI,290,2.0,1.3,Q2
ANIMAL BIOTECHNOLOGY,1532-2378,SCIE,2626,2.0,1.8,Q2
Fat Studies-An Interdisciplinary Journal of Body Weight and Society,2160-486X,ESCI,314,2.0,1.2,Q1
Issues in Mental Health Nursing,1096-4673,"SCIE, SSCI",3958,2.0,1.4,Q2
Journal of Patient Experience,2374-3735,ESCI,2549,2.0,1.8,Q3
JOURNAL OF SPACECRAFT AND ROCKETS,1533-6794,SCIE,7317,2.0,1.9,Q2
Technical Innovations & Patient Support in Radiation Oncology,2405-6324,ESCI,676,2.0,2.8,Q4
Academic Pathology,2374-2895,ESCI,528,2.0,1.3,Q3
EUROPEAN JOURNAL OF MINERALOGY,1617-4011,SCIE,3826,2.0,1.7,Q2
FOLIA PARASITOLOGICA,1803-6465,SCIE,1440,2.0,1.6,Q3
Human Fertility,1742-8149,SCIE,1473,2.0,1.5,Q3
NEPHROLOGY,1440-1797,SCIE,4053,2.0,1.9,Q3
SIAM Journal on Financial Mathematics,1945-497X,SSCI,922,2.0,1.8,Q2
African Journal of Economic and Management Studies,2040-0713,ESCI,789,2.0,1.9,Q2
Apunts Sports Medicine,2666-5069,ESCI,170,2.0,1.3,Q3
Behavioral Sleep Medicine,1540-2010,SCIE,2684,2.0,1.6,Q3
Developmental Neurobiology,1932-846X,SCIE,2591,2.0,2.3,Q3
EJC Paediatric Oncology,2772-610X,ESCI,267,2.0,,Q4
International Journal of Particle Therapy,2331-5180,ESCI,676,2.0,2.0,Q4
Journal of Chinese Economic and Foreign Trade Studies,1754-4416,ESCI,245,2.0,1.6,Q2
"Journal of Nondestructive Evaluation, Diagnostics and Prognostics of Engineering Systems",2572-3898,ESCI,364,2.0,1.9,Q2
ANTI-CANCER DRUGS,1473-5741,SCIE,4071,2.0,2.2,Q4
Bioinformatics and Biology Insights,1177-9322,ESCI,1185,2.0,2.4,Q3
Biomedical Physics & Engineering Express,2057-1976,ESCI,2686,2.0,1.6,Q3
Drugs-Real World Outcomes,2198-9788,ESCI,798,2.0,1.9,Q3
Journal of Workplace Behavioral Health,1555-5259,ESCI,598,2.0,,Q3
Physical Review Accelerators and Beams,2469-9888,SCIE,3076,2.0,1.8,Q3
Psychiatry Investigation,1976-3026,"SCIE, SSCI",4129,2.0,1.8,Q3
Sexual & Reproductive Healthcare,1877-5764,SSCI,1842,2.0,1.7,Q3
Sports Biomechanics,1752-6116,SCIE,3323,2.0,2.0,Q3
Brain Hemorrhages,2589-238X,ESCI,360,2.0,1.4,Q3
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,1742-1241,SCIE,7911,2.0,2.4,Q2
Journal of Biophotonics,1864-0648,SCIE,5745,2.0,2.3,Q3
Journal of Cultural Cognitive Science,2520-1018,ESCI,266,2.0,1.5,Q3
Journal of International Development,1099-1328,SSCI,3179,2.0,1.7,Q3
Journal of the Korean Academy of Child and Adolescent Psychiatry,2233-9183,ESCI,428,2.0,1.4,Q3
Current Urology,1661-7657,ESCI,791,2.0,1.3,Q3
Frontiers in Applied Mathematics and Statistics,2297-4687,ESCI,1259,2.0,1.5,Q2
International Journal of Web Information Systems,1744-0092,ESCI,406,2.0,2.3,Q3
Journal of Renal Care,1755-6686,"SCIE, SSCI",810,2.0,1.5,Q2
Annals of Leisure Research,2159-6816,ESCI,1210,2.0,2.0,Q3
CLINICAL RADIOLOGY,1365-229X,SCIE,7964,2.0,1.9,Q3
Geotechnical Research,2052-6156,ESCI,296,2.0,1.8,Q3
Indian Dermatology Online Journal,2249-5673,ESCI,2235,2.0,2.0,Q3
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,1532-4109,SCIE,3081,2.0,1.8,Q4
Journal of Optical Microsystems,2708-5260,ESCI,203,2.0,1.7,Q3
Marine Resource Economics,2334-5985,SSCI,929,2.0,1.7,Q2
TRANSFUSION,1537-2995,SCIE,12762,2.0,2.0,Q3
Economics and Business Review,2450-0097,ESCI,274,2.0,1.6,Q2
JOURNAL OF CHEMOMETRICS,1099-128X,SCIE,4124,2.0,2.1,Q3
JOURNAL OF ENGINEERING MATHEMATICS,1573-2703,SCIE,2253,2.0,1.4,Q2
Social Neuroscience,1747-0927,SCIE,2174,2.0,1.5,Q4
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,1572-9699,SCIE,7093,2.0,1.8,Q4
Birth Defects Research,2472-1727,SCIE,2427,2.0,1.6,Q3
Information Polity,1875-8754,ESCI,870,2.0,1.8,Q2
International Journal of Distributed Sensor Networks,1550-1477,SCIE,2809,2.0,2.5,Q3
JOURNAL OF GEODYNAMICS,N/A,SCIE,3102,2.0,2.1,Q3
Journal of Geophysics and Engineering,1742-2140,SCIE,2863,2.0,1.7,Q3
REVIEW OF POLITICAL ECONOMY,1465-3982,ESCI,1333,2.0,1.5,Q2
Sexual Health,1449-8987,SCIE,1897,2.0,2.2,Q3
EVENT MANAGEMENT,1943-4308,ESCI,1593,2.0,1.5,Q3
EVOLUTIONARY ECOLOGY,1573-8477,SCIE,3367,2.0,2.1,Q3
Health Promotion Journal of Australia,2201-1617,SSCI,2006,2.0,1.5,Q3
International Journal of Rheumatic Diseases,1756-185X,SCIE,5330,2.0,2.0,Q3
Journal of Medical Toxicology,1937-6995,SCIE,1710,2.0,2.6,Q4
JOURNAL OF QUALITY TECHNOLOGY,2575-6230,SCIE,2856,2.0,2.2,Q3
Journal of Research in Health Sciences,2228-7809,ESCI,817,2.0,1.4,Q3
VIRUS GENES,1572-994X,SCIE,2876,2.0,1.9,Q3
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,1758-4213,SCIE,2262,2.0,1.3,Q2
Brazilian Journal of Infectious Diseases,1678-4391,SCIE,2291,2.0,2.8,Q3
DYNAMICS OF ATMOSPHERES AND OCEANS,1872-6879,SCIE,1622,2.0,2.0,Q3
EUROPEAN NEUROLOGY,1421-9913,SCIE,3124,2.0,2.4,Q3
GEOLOGICAL MAGAZINE,1469-5081,SCIE,5767,2.0,2.0,Q3
Geoscientific Instrumentation Methods and Data Systems,2193-0864,SCIE,621,2.0,2.3,Q3
HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,1099-1077,SCIE,1724,2.0,1.7,Q3
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,1369-1619,SCIE,3707,2.0,1.9,Q4
International Journal of Occupational Medicine and Environmental Health,1896-494X,SCIE,1883,2.0,1.4,Q3
Journal of Computer Languages,2590-1184,SCIE,336,2.0,1.8,Q3
Journal of Financial Regulation and Compliance,1740-0279,ESCI,651,2.0,1.8,Q2
Journal of Sports Analytics,2215-0218,ESCI,280,2.0,1.2,Q3
SYNTHETIC COMMUNICATIONS,1532-2432,SCIE,6806,2.0,1.8,Q3
European Journal of Translational Myology,2037-7460,ESCI,905,2.0,1.8,Q3
FEMS MICROBIOLOGY LETTERS,1574-6968,SCIE,17428,2.0,2.2,Q4
International Journal of Applied Glass Science,2041-1294,SCIE,1539,2.0,2.5,Q2
JMA Journal,2433-3298,ESCI,887,2.0,1.8,Q2
JOURNAL OF NEUROVIROLOGY,1538-2443,SCIE,2681,2.0,1.9,Q4
Journal of Tissue Engineering and Regenerative Medicine,1932-7005,SCIE,5228,2.0,2.6,Q4
Magnetic Resonance Imaging Clinics of North America,1557-9786,SCIE,1206,2.0,1.5,Q3
METEOROLOGY AND ATMOSPHERIC PHYSICS,1436-5065,SCIE,3325,2.0,2.1,Q4
PHOTOSYNTHETICA,1573-9058,SCIE,4555,2.0,1.6,Q2
Cardiovascular Ultrasound,1476-7120,SCIE,1202,2.0,1.6,Q3
Clinical Psychologist,1742-9552,SCIE,878,2.0,1.4,Q3
Hematology,1607-8454,SCIE,2779,2.0,1.6,Q3
IET Information Security,1751-8717,SCIE,917,2.0,2.6,Q3
IRISH JOURNAL OF MEDICAL SCIENCE,1863-4362,SCIE,4532,2.0,1.6,Q2
JOURNAL OF MOLECULAR EVOLUTION,1432-1432,SCIE,7365,2.0,1.8,Q4
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,1573-0824,SCIE,834,2.0,1.8,Q2
Quaternary,2571-550X,ESCI,736,2.0,2.1,Q3
Review of Corporate Finance Studies,2046-9136,ESCI,1050,2.0,2.2,Q2
ASME Open Journal of Engineering,2770-3495,ESCI,369,2.0,1.4,Q2
Genes and Environment,1880-7062,SCIE,730,2.0,1.9,Q3
International Journal of Genomics,2314-4378,SCIE,1432,2.0,1.9,Q4
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,1099-1204,SCIE,1420,2.0,1.7,Q3
Journal of Aging Research,2090-2212,ESCI,1505,2.0,2.1,Q4
LETTERS IN APPLIED MICROBIOLOGY,1472-765X,SCIE,8639,2.0,2.1,Q4
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,2041-3009,SCIE,4251,2.0,2.2,Q3
Arab Journal of Urology,2090-5998,ESCI,1195,2.0,1.2,Q3
GENETICA,1573-6857,SCIE,2288,2.0,1.3,Q3
IEEE Solid-State Circuits Letters,2573-9603,ESCI,1283,2.0,2.0,Q3
International Journal of Coal Preparation and Utilization,1939-2702,SCIE,2246,2.0,2.1,Q4
JBI Evidence Implementation,2691-3321,SCIE,777,2.0,1.1,Q3
MEDICINE,1536-5964,SCIE,81919,2.0,1.4,Q2
NATURAL RESOURCE MODELING,1939-7445,SCIE,685,2.0,2.1,Q4
Revista Portuguesa de Cardiologia,0304-4750,SCIE,1393,2.0,1.6,Q3
ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,1438-9010,SCIE,1846,2.0,1.7,Q3
Current Cardiovascular Risk Reports,1932-9563,ESCI,663,2.0,1.8,Q3
Current Medical Science,2523-899X,SCIE,2280,2.0,1.5,Q3
HEALTH,1461-7196,SSCI,1768,2.0,2.3,Q3
IEEE Design & Test,2168-2364,SCIE,1393,2.0,1.9,Q3
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,1543-706X,SCIE,2770,2.0,1.7,Q4
JOURNAL OF MATHEMATICAL CHEMISTRY,1572-8897,SCIE,2866,2.0,2.0,Q3
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,2041-3130,SCIE,1738,2.0,1.8,Q3
MACHINE VISION AND APPLICATIONS,1432-1769,SCIE,2807,2.0,2.3,Q3
Tissue Engineering Part C-Methods,1937-3392,SCIE,2946,2.0,2.6,Q4
ACTA NEUROLOGICA BELGICA,2240-2993,SCIE,3070,2.0,2.1,Q3
ANALYTICAL SCIENCES,1348-2246,SCIE,5280,2.0,2.0,Q3
European Journal for Sport and Society,2380-5919,ESCI,687,2.0,1.0,Q3
IET Control Theory and Applications,1751-8652,SCIE,5544,2.0,2.3,Q3
Journal of Gambling Issues,1910-7595,ESCI,391,2.0,1.0,Q3
Journal of the Society for Information Display,1938-3657,SCIE,1970,2.0,2.2,Q3
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1557-8100,SCIE,6968,2.0,1.6,Q4
THEORY IN BIOSCIENCES,1611-7530,SCIE,669,2.0,1.4,Q2
ASME Journal of Heat and Mass Transfer,2832-8469,SCIE,755,2.0,1.8,Q3
Interventional Cardiology-Reviews Research Resources,1756-1485,ESCI,277,2.0,2.8,Q3
PHYSICS-USPEKHI,1468-4780,SCIE,5740,2.0,3.4,Q2
Sleep and Biological Rhythms,1479-8425,SCIE,1283,2.0,1.3,Q3
AUSTRALIAN FORESTRY,2325-6087,SCIE,824,2.0,1.2,Q2
Big Data,2167-647X,SCIE,1560,2.0,2.0,Q3
Indian Journal of Critical Care Medicine,1998-359X,ESCI,3725,2.0,1.5,Q3
INTERNATIONAL JOURNAL OF MODERN PHYSICS D,1793-6594,SCIE,7474,2.0,2.1,Q3
Journal of Emerging Market Finance,0973-0710,ESCI,301,2.0,1.2,Q2
Journal of Yeungnam Medical Science,2799-8010,ESCI,382,2.0,1.4,Q2
Lighting Research & Technology,1477-0938,SCIE,2474,2.0,2.2,Q3
PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,1851-5657,SCIE,1831,2.0,1.2,Q2
PLANT MOLECULAR BIOLOGY REPORTER,1572-9818,SCIE,3479,2.0,1.4,Q3
RAUSP Management Journal,2531-0488,ESCI,637,2.0,2.2,Q3
ASIAN JOURNAL OF CONTROL,1934-6093,SCIE,4749,2.0,2.7,Q3
CHINESE JOURNAL OF LASERS-ZHONGGUO JIGUANG,0258-7025,ESCI,4946,2.0,1.9,Q3
Endocrine Metabolic & Immune Disorders-Drug Targets,2212-3873,SCIE,2919,2.0,2.0,Q4
Genes & Genomics,2092-9293,SCIE,2179,2.0,1.7,Q4
Indian Heart Journal,2213-3763,ESCI,2362,2.0,1.8,Q3
International Journal of Bio-Inspired Computation,1758-0374,SCIE,764,2.0,2.0,Q3
International Journal of Computer Games Technology,1687-7055,ESCI,329,2.0,1.1,Q3
Journal of College Student Mental Health,2836-7146,ESCI,141,2.0,,Q3
Journal of Location Based Services,1748-9733,ESCI,240,2.0,1.4,Q3
AIDS REVIEWS,1698-6997,SCIE,526,2.0,2.5,Q4
ARCTIC ANTARCTIC AND ALPINE RESEARCH,1938-4246,SCIE,3237,2.0,2.0,Q4
e-Informatica Software Engineering Journal,2084-4840,ESCI,106,2.0,1.2,Q3
Earthquake Engineering and Resilience,2770-5706,ESCI,213,2.0,1.9,Q3
Gastroenterologia y Hepatologia,0210-5705,SCIE,1468,2.0,1.9,Q3
Global Business Review,0973-0664,ESCI,3108,2.0,1.9,Q3
International Journal of Production Management and Engineering,2340-4876,ESCI,179,2.0,1.3,Q2
Language Resources and Evaluation,1574-0218,SCIE,1999,2.0,1.8,Q3
Revista de Gastroenterologia de Mexico,0375-0906,ESCI,714,2.0,1.7,Q3
Weather,1477-8696,SCIE,1612,2.0,1.9,Q4
Annals of Corporate Governance,2381-6732,ESCI,53,2.0,1.8,Q3
BIOLOGICAL CYBERNETICS,1432-0770,SCIE,4236,2.0,1.6,Q3
ETRI JOURNAL,2233-7326,SCIE,1309,2.0,1.6,Q3
Gastroenterology & Endoscopy,2949-7523,ESCI,238,2.0,,Q3
IEEE Computer Architecture Letters,1556-6064,SCIE,954,2.0,1.4,Q3
IEEE Open Journal of Instrumentation and Measurement,2768-7236,ESCI,252,2.0,1.5,Q3
ISIJ INTERNATIONAL,1347-5460,SCIE,15541,2.0,1.8,Q3
Practice Periodical on Structural Design and Construction,1943-5576,ESCI,1424,2.0,2.1,Q3
Revista de Investigacion Clinica-Clinical and Translational Investigation,2564-8896,SCIE,907,2.0,1.4,Q2
RIVER RESEARCH AND APPLICATIONS,1535-1467,SCIE,5483,2.0,1.9,Q4
IET Science Measurement & Technology,1751-8830,SCIE,1638,2.0,1.3,Q3
Journal of Electrical Engineering & Technology,2093-7423,SCIE,4288,2.0,1.6,Q3
MOUNTAIN RESEARCH AND DEVELOPMENT,1994-7151,SCIE,2313,2.0,1.8,Q4
Postepy w Kardiologii Interwencyjnej,1897-4295,SCIE,594,2.0,1.4,Q3
Rambam Maimonides Medical Journal,2076-9172,ESCI,730,2.0,1.3,Q2
Coupled Systems Mechanics,2234-2192,ESCI,307,2.0,1.3,Q3
JOURNAL OF THE INSTITUTE OF BREWING,2050-0416,SCIE,2601,2.0,2.0,Q3
Tumori Journal,2038-2529,SCIE,1986,2.0,3.1,Q4
4OR-A Quarterly Journal of Operations Research,1614-2411,SCIE,658,2.0,2.6,Q3
CLEAN-Soil Air Water,1863-0669,SCIE,2953,2.0,1.4,Q4
Clinical and Experimental Hepatology,2449-8238,ESCI,610,2.0,1.7,Q3
Clinical and Translational Neuroscience,2514-183X,ESCI,252,2.0,1.1,Q3
IEEE ELECTRICAL INSULATION MAGAZINE,1558-4402,SCIE,1883,2.0,1.3,Q3
International Journal of Prognostics and Health Management,2153-2648,ESCI,580,2.0,1.0,Q2
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,1532-4117,SCIE,4687,2.0,2.1,Q4
ONCOLOGY-NEW YORK,2767-7389,SCIE,1430,2.0,1.8,Q4
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,1751-7710,SCIE,748,2.0,1.2,Q3
Frontiers in Sleep,2813-2890,ESCI,289,2.0,,Q3
Journal of Vascular Access,1724-6032,SCIE,3609,2.0,1.7,Q3
REVISTA BRASILEIRA DE CIENCIA DO SOLO,1806-9657,SCIE,2956,2.0,2.0,Q3
American Journal of Business,1935-5181,ESCI,287,2.0,1.8,Q3
Frattura ed Integrita Strutturale-Fracture and Structural Integrity,1971-8993,ESCI,1403,2.0,1.5,Q3
International Journal of Industrial Engineering Computations,1923-2934,SCIE,1055,2.0,1.8,Q3
Journal of Electrical and Computer Engineering,2090-0155,ESCI,1209,2.0,1.1,Q3
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0974-1275,SCIE,1634,2.0,1.5,Q4
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,1862-6319,SCIE,13820,2.0,1.9,Q4
COLOR RESEARCH AND APPLICATION,1520-6378,SCIE,3472,2.0,1.4,Q3
INTERNATIONAL POLYMER PROCESSING,2195-8602,SCIE,1233,2.0,1.9,Q3
NEGOTIATION JOURNAL,1571-9979,SSCI,625,2.0,0.6,Q3
Physica Status Solidi-Rapid Research Letters,1862-6270,SCIE,4790,2.0,2.0,Q4
Toxicology and Environmental Health Sciences,2233-7784,ESCI,634,2.0,1.0,Q4
Hepatic Oncology,2045-0931,ESCI,225,2.0,1.3,Q4
Service Oriented Computing and Applications,1863-2394,ESCI,377,2.0,1.7,Q3
Applied Research,2702-4288,ESCI,424,2.0,,Q2
GROWTH HORMONE & IGF RESEARCH,1532-2238,SCIE,1308,2.0,1.6,Q4
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,1863-7345,SCIE,3763,2.0,1.7,Q4
NETWORKS,1097-0037,SCIE,3485,2.0,1.3,Q3
Clinical Advances in Hematology & Oncology,1543-0790,ESCI,694,2.0,,Q4
CYTOGENETIC AND GENOME RESEARCH,1424-859X,SCIE,2282,2.0,1.3,Q4
Foundations and Trends in Theoretical Computer Science,1551-3068,ESCI,1222,2.0,,Q2
Journal of Architectural Engineering,1943-5568,ESCI,1401,2.0,1.5,Q3
Cell Journal,2228-5814,SCIE,1812,2.0,1.7,Q4
CHEMICAL ENGINEERING & TECHNOLOGY,1521-4125,SCIE,7034,2.0,1.6,Q3
JOURNAL OF THE CHINESE CHEMICAL SOCIETY,2192-6549,SCIE,3641,2.0,1.5,Q3
PARTICULATE SCIENCE AND TECHNOLOGY,1548-0046,SCIE,2611,2.0,1.5,Q3
Integrative Biology,1757-9708,SCIE,2249,2.0,1.4,Q4
TURKISH JOURNAL OF CHEMISTRY,1300-0527,SCIE,2379,2.0,1.4,Q3
AIMS Energy,2333-8334,ESCI,850,2.0,1.8,Q4
Industrial Biotechnology,1931-8421,ESCI,726,2.0,1.1,Q4
JOURNAL OF SURFACTANTS AND DETERGENTS,1558-9293,SCIE,2812,2.0,1.8,Q3
Revue Internationale de Geomatique,2116-7060,ESCI,89,2.0,0.4,Q3
CABI Reviews,1749-8848,ESCI,1065,2.0,,Q2
Intelligenza Artificiale,2211-0097,ESCI,261,2.0,1.4,Q3
Journal of Information Technology Research,1938-7865,ESCI,146,2.0,0.5,Q3
Advances in Energy Research,2287-6324,ESCI,57,2.0,,Q4
Twentieth Century British History,1477-4674,AHCI,524,1.9,1.8,Q1
Research Studies in Music Education,1834-5530,ESCI,833,1.9,1.6,N/A
Law & Policy,1467-9930,SSCI,951,1.9,1.6,Q1
Journal of Consumer Culture,1741-2900,"AHCI, SSCI",2141,1.9,2.5,Q1
China Information,1741-590X,SSCI,617,1.9,1.7,Q1
ASIAN SURVEY,1533-838X,SSCI,1945,1.9,1.2,Q1
AMERICAN ANTIQUITY,2325-5064,SSCI,3771,1.9,1.9,Q1
Human Rights Review,1874-6306,ESCI,492,1.9,1.3,Q1
Archaeological Dialogues,1478-2294,AHCI,520,1.9,2.2,N/A
European Journal of Cultural Management and Policy,2663-5771,ESCI,82,1.9,0.3,N/A
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,2169-2408,SSCI,979,1.9,3.7,Q2
International Journal of Refugee Law,1464-3715,ESCI,761,1.9,1.6,Q1
NEW YORK UNIVERSITY LAW REVIEW,0028-7881,SSCI,1805,1.9,1.7,Q1
OCEAN DEVELOPMENT AND INTERNATIONAL LAW,1521-0642,SSCI,582,1.9,1.4,Q2
PEDIATRIC DIABETES,1399-5448,SCIE,5224,1.9,5.6,Q4
International Journal of Design,1994-036X,AHCI,1155,1.9,1.9,N/A
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,1460-244X,SCIE,6132,1.9,1.6,Q1
Cultural Studies of Science Education,1871-1510,"AHCI, SSCI",1510,1.9,1.5,Q1
AMERICAN JOURNAL OF MATHEMATICS,1080-6377,SCIE,6656,1.9,1.7,Q1
JOURNAL OF AVIAN BIOLOGY,1600-048X,SCIE,3730,1.9,1.8,Q1
Ornithology,2732-4613,SCIE,553,1.9,1.7,Q1
Historical Materialism-Research in Critical Marxist Theory,1569-206X,AHCI,893,1.9,1.0,N/A
JOURNAL OF INEQUALITIES AND APPLICATIONS,1029-242X,SCIE,4067,1.9,1.8,Q1
BEHAVIORAL SCIENCES & THE LAW,1099-0798,SSCI,1947,1.9,1.3,Q1
Rural Special Education Quarterly,2168-8605,ESCI,489,1.9,0.9,Q2
AMERICAN ANTHROPOLOGIST,1548-1433,SSCI,6235,1.9,1.7,Q1
Journal of Language Identity and Education,1532-7701,SSCI,1625,1.9,1.8,Q2
Communications in Analysis and Mechanics,2836-3310,SCIE,173,1.9,3.0,Q1
Homicide Studies,1552-6720,SSCI,873,1.9,2.4,Q2
VIAL-Vigo International Journal of Applied Linguistics,N/A,AHCI,127,1.9,1.2,N/A
THEORETICAL CRIMINOLOGY,1461-7439,SSCI,1942,1.9,1.7,Q2
Exceptionality,1532-7035,SSCI,660,1.9,0.9,Q2
Psychology of Violence,2152-081X,SSCI,2912,1.9,2.4,Q2
Asian Education and Development Studies,2046-3170,ESCI,573,1.9,2.0,Q2
Contemporary Politics,1469-3631,SSCI,1151,1.9,2.0,Q2
Current Issues in Language Planning,1747-7506,SSCI,1196,1.9,1.8,Q2
Intellectual and Developmental Disabilities,1934-9556,SSCI,1469,1.9,1.6,Q2
FAMILY PRACTICE,1460-2229,SCIE,5522,1.9,2.2,Q2
MINNESOTA LAW REVIEW,0026-5535,SSCI,1331,1.9,3.2,Q1
SIGNS,1545-6943,SSCI,6353,1.9,1.9,Q2
INTERNATIONAL JOURNAL OF SOCIAL WELFARE,1468-2397,SSCI,1709,1.9,1.4,Q1
LEARNING DISABILITY QUARTERLY,2168-376X,SSCI,1117,1.9,1.2,Q2
Chinese Journal of International Law,1746-9937,SSCI,455,1.9,1.2,Q2
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,1420-9039,SCIE,5801,1.9,1.6,Q1
Journal of Specialised Translation,1740-357X,AHCI,562,1.9,,N/A
REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,1608-0637,SCIE,3086,1.9,1.1,Q2
FACIES,1612-4820,SCIE,1824,1.9,1.7,Q2
Contemporary Italian Politics,2324-8831,ESCI,453,1.9,1.8,Q2
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,1029-0265,SCIE,3097,1.9,1.3,Q1
ANTHROZOOS,1753-0377,SSCI,3010,1.9,2.3,Q2
Korean Journal of Neurotrauma,2288-2243,ESCI,505,1.9,,Q3
Socius,2378-0231,ESCI,2725,1.9,2.0,Q2
AMERICAN JOURNAL OF EDUCATION,1549-6511,SSCI,1501,1.9,2.3,Q2
DISCOURSE & SOCIETY,1460-3624,SSCI,2798,1.9,2.7,Q2
European Zoological Journal,2475-0263,SCIE,980,1.9,1.4,Q2
JOURNAL OF FORENSIC SCIENCES,1556-4029,SCIE,10004,1.9,1.8,Q2
OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA,1557-8259,SCIE,3704,1.9,1.4,Q2
Acta Politica,1741-1416,SSCI,1310,1.9,1.9,Q2
Crime Media Culture,1741-6604,SSCI,872,1.9,1.9,Q2
Discourse & Communication,1750-4821,SSCI,1215,1.9,2.2,Q2
Women in Sport and Physical Activity Journal,1938-1581,ESCI,597,1.9,1.5,Q3
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,1939-0025,SSCI,6319,1.9,2.1,Q1
Laryngoscope Investigative Otolaryngology,2378-8038,SCIE,2914,1.9,1.7,Q2
BIRD CONSERVATION INTERNATIONAL,1474-0001,SCIE,1658,1.9,1.5,Q3
Current Issues in Criminal Justice,2206-9542,ESCI,665,1.9,1.9,Q2
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,1558-0474,SCIE,2759,1.9,2.5,Q3
THEORY AND SOCIETY,1573-7853,SSCI,4651,1.9,1.4,Q2
AMERICAN JOURNAL OF HUMAN BIOLOGY,1520-6300,SSCI,4693,1.9,1.7,Q1
Communication and the Public,2057-0481,ESCI,545,1.9,1.5,Q2
FUSION ENGINEERING AND DESIGN,1873-7196,SCIE,15226,1.9,2.0,Q2
Journal of Media Psychology-Theories Methods and Applications,2151-2388,SSCI,1070,1.9,2.4,Q2
INDUSTRIAL RELATIONS JOURNAL,1468-2338,ESCI,814,1.9,1.5,Q2
JOURNAL OF MICROSCOPY,1365-2818,SCIE,5937,1.9,1.9,Q3
PALAEONTOLOGIA ELECTRONICA,1094-8074,SCIE,3720,1.9,1.5,Q2
POLITICAL RESEARCH QUARTERLY,1938-274X,SSCI,5929,1.9,2.1,Q2
EVALUATION AND PROGRAM PLANNING,1873-7870,SSCI,3525,1.9,2.0,Q2
MEDICAL ANTHROPOLOGY QUARTERLY,1548-1387,SSCI,1576,1.9,1.9,Q1
CLINICS IN PLASTIC SURGERY,1558-0504,SCIE,3130,1.9,1.8,Q2
Globalisation Societies and Education,1476-7732,ESCI,1935,1.9,1.9,Q2
International Journal of Emergency Medicine,1865-1380,ESCI,1933,1.9,2.0,Q2
Journal of School Violence,1538-8239,SSCI,1445,1.9,2.0,Q2
JOURNAL OF SEDIMENTARY RESEARCH,1938-3681,SCIE,6657,1.9,2.1,Q2
Swiss Political Science Review,1662-6370,SSCI,1152,1.9,1.6,Q2
Australian Journal of Environmental Education,2049-775X,ESCI,719,1.9,2.7,Q2
Facial Plastic Surgery Clinics of North America,1558-1926,SCIE,1975,1.9,1.9,Q2
JOURNAL OF EARLY ADOLESCENCE,1552-5449,SSCI,3028,1.9,2.2,Q2
Linguistic Landscape-An International Journal,2214-9961,ESCI,424,1.9,1.0,Q2
Peace Economics Peace Science and Public Policy,1554-8597,ESCI,317,1.9,1.2,Q2
ADMINISTRATION & SOCIETY,1552-3039,SSCI,3083,1.9,2.3,Q3
PROBABILITY THEORY AND RELATED FIELDS,1432-2064,SCIE,5089,1.9,1.6,Q1
Seminars in Orthodontics,1558-4631,SCIE,1258,1.9,2.0,Q3
INFORMATION ECONOMICS AND POLICY,1873-5975,SSCI,1183,1.9,3.2,Q2
